,Word,Count
24,bmw,2724
29,acura,818
12,audi,793
87,honda,649
11,new,631
114,infiniti,534
54,good,506
60,much,392
58,great,344
89,many,339
13,best,322
150,nissan,293
14,interior,248
119,different,243
158,better,242
36,tl,235
64,ive,229
28,little,220
95,manual,219
90,dont,203
55,g35,197
135,sure,193
144,last,193
34,nice,179
77,less,174
322,bad,164
134,im,164
25,old,153
61,x-type,151
59,drive,150
640,big,147
279,high,145
0,top,141
247,japanese,139
45,right,136
204,real,129
147,lexus,128
169,cant,125
35,hard,124
255,next,123
63,fwd,119
143,second,115
109,true,114
74,0-60,114
108,automatic,110
123,least,109
118,first,105
199,small,101
33,front,98
201,expensive,94
396,long,92
85,overall,90
209,toyota,88
430,agree,88
635,g,87
113,wrong,85
242,current,85
329,available,84
595,extra,84
269,higher,83
70,enough,77
172,low,77
280,german,77
518,smaller,77
379,hp,75
186,reliable,74
66,awd,71
193,important,69
435,torque,69
72,american,68
180,similar,67
665,want,67
630,rwd,66
433,rear,66
224,powerful,65
1066,bigger,64
139,ill,63
145,happy,63
23,convertible,62
703,standard,62
978,snow,60
187,whole,59
51,several,59
2003,cts-v,59
693,fine,59
842,able,58
561,sedan,58
80,worth,57
1229,subaru,57
21,excellent,57
71,close,57
625,mean,55
41,is300,55
131,live,54
495,major,54
409,soft,54
309,average,53
225,due,52
545,full,52
560,total,52
191,european,51
750,willing,51
17,personal,50
47,u,50
456,comparable,50
43,doesnt,49
289,recent,49
132,isnt,48
128,give,47
570,saab,47
83,previous,47
97,id,47
112,serious,47
9,6-speed,47
178,superior,47
477,comfortable,46
1020,free,46
649,exterior,46
448,safe,46
439,certain,45
274,general,43
995,know,43
176,equal,41
266,huge,41
639,premium,41
189,cheap,41
223,large,41
438,larger,41
136,wont,40
271,poor,40
467,subjective,40
262,perfect,39
366,easy,39
214,slow,38
321,beautiful,38
152,smooth,38
1,entry-level,38
110,possible,38
452,solid,38
88,lower,37
404,fast,37
412,short,36
664,ok,35
1345,common,35
483,luxurious,34
171,read,34
141,latest,34
318,didnt,34
328,tranny,32
153,future,32
636,c,31
875,open,31
1039,dead,31
990,original,31
291,quick,31
120,driven,31
18,single,31
170,mb,30
154,impressive,30
1223,likely,30
369,hot,30
1645,hyundai,30
481,nav,30
1176,horsepower,30
1460,gear,29
918,significant,29
197,cheaper,29
1052,blue,29
1205,a-spec,29
1314,interesting,29
955,horrible,29
8,sport,29
31,hear,29
165,arent,29
117,imo,28
32,decent,28
19,bottom,28
405,particular,28
287,final,28
340,early,28
73,special,27
524,volvo,27
773,worse,27
556,funny,27
1498,automotive,27
4225,e90,27
897,light,27
164,sorry,27
57,flat,27
183,relative,27
572,normal,26
217,guess,26
354,ford,26
155,past,26
163,level,26
516,come,25
728,fair,25
1230,sti,25
778,correct,25
7,black,25
760,actual,25
6,trim,24
323,strong,24
42,wonderful,24
38,main,24
2022,like,24
500,theyre,23
268,capable,23
260,entire,23
1587,g35x,23
358,weak,23
305,public,23
182,couple,23
84,initial,23
969,underpowered,23
964,lux,23
133,heavy,23
1819,mpg,23
1179,ultimate,23
834,competitive,23
710,middle,23
1836,v6,23
912,stick,22
238,sporty,22
1109,fun,22
4849,is350,22
794,etc,22
1655,all-season,22
382,negative,22
1063,residual,22
385,slower,22
741,quiet,22
1210,regular,22
1951,cool,22
206,fastest,22
246,easier,21
151,5-speed,21
1091,prestige,21
475,upscale,21
490,leather,21
631,oh,21
617,biggest,21
1057,tight,21
10,favorite,21
1009,awesome,21
276,fit,20
346,sound,20
290,straight,20
30,tl-s,20
1193,third,20
1220,daily,20
562,vs,20
106,build,20
494,test,20
1433,simple,20
127,interested,19
582,various,19
347,concerned,19
791,weird,19
157,direct,19
336,impressed,19
167,tough,19
525,local,18
334,exhaust,18
1924,wide,18
1037,grand,18
37,popular,18
1535,turbo,18
1380,minor,18
1217,crazy,18
1087,cr,18
333,amazing,18
551,january,18
975,compare,18
1136,seat,18
705,else,18
91,basic,18
239,s4,18
841,exact,18
327,worst,18
16,rigid,18
1723,wish,18
1455,faster,17
1895,typical,17
5,stop,17
2852,sh-awd,17
277,finish,17
597,clear,17
1103,individual,17
1676,e46,17
1376,ridiculous,17
304,aggressive,17
826,usa,17
1274,former,17
408,youll,17
342,liked,16
948,add,16
1420,super,16
722,understand,16
1295,lsd,16
2368,mechanical,16
407,ride,16
450,plenty,16
997,lease,16
159,older,16
210,v-6,16
2087,anecdotal,16
2038,sharp,16
39,obvious,16
67,keep,15
137,curious,15
1383,bimmer,15
1021,gs,15
762,category,15
488,youd,15
3836,softer,15
1225,ferrari,15
381,comparison,15
56,clean,15
1531,longer,15
823,4-cyl,15
1370,tls,15
65,compete,15
2089,unreliable,15
2021,nimble,15
146,weight,15
1122,objective,15
2574,s40,14
104,conservative,14
1170,red,14
1468,-best,14
504,differential,14
2492,need,14
1415,wouldnt,14
375,disagree,14
2260,practical,14
677,subject,14
357,throttle,14
198,potential,14
1812,cl-s,14
1796,havent,14
299,reasonable,14
2341,lousy,14
1126,imho,14
1356,dry,14
293,identical,14
1296,sweet,14
394,modern,14
731,specific,14
1533,0-100,13
410,all-wheel-drive,13
1576,secs,13
386,x-types,13
427,complete,13
1106,thread,13
492,outhandle,13
398,precise,13
882,e,13
1062,greater,13
880,httpwww,13
400,optional,13
552,february,13
847,present,13
2060,gm,13
2487,bold,13
1224,enjoy,13
588,pontiac,13
2388,nose,13
1027,limited,13
725,ed,13
320,green,13
1353,stuck,13
1035,upgrade,13
1329,efficient,13
1008,rare,12
1349,itll,12
188,forum,12
156,es,12
924,electrical,12
252,vast,12
1068,used,12
3763,epa,12
1093,net,12
653,metallic,12
1281,key,12
2563,lots,12
208,domestic,12
1149,spend,12
2347,wasnt,12
822,track,12
496,autoweek,12
563,sold,12
814,touch,12
68,jaguar,12
3369,warranty,12
196,highest,12
530,late,12
221,ready,12
565,avant,12
222,vary,11
2493,outside,11
1528,alive,11
770,ignorant,11
2001,pretty,11
569,compact,11
1302,noticeable,11
138,speak,11
115,logic,11
869,cannot,11
116,steptronic,11
632,notice,11
618,bit,11
3134,responsive,11
651,difficult,11
2034,exclusive,11
1921,overdrive,11
1691,stupid,11
288,suppose,11
983,heavier,11
1002,mile,11
1025,tried,11
1684,surprised,11
344,incredible,11
1705,classic,11
988,9-5,11
