Word,Assignment
new,Technology
little,Design
nice,Design
big,Design
high,Design
automatic,Performance
small,Design
expensive,Economy
long,Design
current,Technology
available,Economy
low,Design
smaller,Design
reliable,Build Quality
awd,Performance
torque,Performance
rwd,Performance
powerful,Performance
bigger,Design
standard,Performance
snow,Build Quality
soft,Comfort
6-speed,Performance
comfortable,Comfort
exterior,Design
safe,Build Quality
free,Economy
cheap,Economy
huge,Design
premium,Economy
large,Design
larger,Design
easy,Comfort
smooth,Comfort
beautiful,Design
slow,Performance
entry-level,Technology
solid,Build Quality
fast,Performance
lower,Design
luxurious,Design
future,Technology
original,Technology
quick,Performance
dead,Build Quality
hot,Build Quality
horsepower,Performance
sport,Performance
special,Design
flat,Design
strong,Build Quality
trim,Design
underpowered,Performance
capable,Build Quality
competitive,Economy
weak,Performance
mpg,Economy
heavy,Technology
sporty,Performance
all-season,Build Quality
slower,Performance
cool,Design
fun,Performance
fastest,Performance
quiet,Comfort
prestige,Design
biggest,Design
fit,Economy
tough,Build Quality
popular,Design
rigid,Build Quality
basic,Design
turbo,Performance
aggressive,Performance
faster,Performance
older,Technology
sharp,Design
unreliable,Build Quality
weight,Technology
longer,Design
softer,Comfort
nimble,Performance
sweet,Comfort
modern,Technology
practical,Economy
conservative,Economy
reasonable,Economy
outhandle,Performance
precise,Technology
bold,Design
efficient,Economy
pretty,Design
compact,Design
classic,Technology
heavier,Technology
exclusive,Design
responsive,Performance
noticeable,Design
